Name,DisplayName,Category,Tier,MaxStack,bDroppable,FlavorText
mat_sunmoss,"Sunmoss",Material,1,99,true,"Soft, warm, endlessly renewing. The kindest material in the world, and the most thoughtless."
mat_softfiber,"Soft Fiber",Material,1,99,true,"Pulled from the gentle meadow growth. Binds almost anything."
mat_gentlestone,"Gentle Stone",Material,1,99,true,"Sun-warmed rock from the hollow. Heavier than it looks, kinder than it sounds."
mat_swallowedwood,"Swallowed-wood",Material,2,99,true,"Timber reclaimed from homes the Bloom ate. Still faintly shaped by the rooms it used to be."
mat_resin,"Bloom Resin",Material,2,99,true,"Sticky sap the Overgrowth never stops weeping."
mat_glowcap,"Glowcap",Material,2,99,true,"A fungus that forgot how to wilt. It glows on, and on."
mat_stillsteel,"Stillsteel",Material,3,99,true,"Salvage from the dormant machines. It holds an edge and, the smiths swear, a mood."
mat_sealstone,"Seal-stone",Material,3,99,true,"Dense stone the old works used to contain things. It remembers being a wall."
mat_hushglass,"Hushglass",Material,4,99,true,"Formed where the light went thin and slow. Looks like a held breath."
mat_gardenlight,"Gardenlight",Material,5,1,false,"Not gathered. Given, or not, depending on how the story ends."
comp_binding,"Binding",Component,1,99,true,"Fiber and resin, worked into something that holds."
comp_fitting,"Stillworks Fitting",Component,3,99,true,"A salvaged part whose original purpose is labeled in a script no one can read."
food_warmbroth,"Warm Broth",Consumable,1,20,true,"Restores stamina and a little of something the world forgot the name for."
item_repair_kit,"Repair Kit",Consumable,1,20,true,"A tidy bundle for mending what the work wears down. Tools come back so easily, you almost forget the things that don't."
