Name,Type,Thread,RegionTier,RequiredLiteracyTier,GlyphText,TranslatedText
frag_sunhollow_monument,Inscription,Monument,1,2,"A face of worn stone, its carving soft as moss, saying nothing you can read.","IN MEMORY OF THOSE WHO"
frag_shadow_wrong,Observation,Rememberer,1,0,"","My shadow falls a little long, a little warm at the edge, like it remembers a different sun. No one else's does. There isn't one that matches mine."
frag_no_one_asks,Observation,None,1,0,"","I have been here days and no one has asked where I came from. They are so kind. They are not curious at all. I cannot tell if that is peace or something missing."
frag_tinker_kept_tool,Artifact,None,1,0,"","A small worn tool in the Tinker's locked drawer. Older than anything else here. They never use it and cannot bring themselves to scrap it, and do not know why."
frag_morningspit_truename,TrueName,TrueNames,2,1,"A name carved into a root, in the old growing-script.","Dawnweep. A better name than morningspit. Older. The Forager has never read it."
frag_swallowed_home,Artifact,Lineage,2,1,"","The Bloom ate a house here. A doorway, a hearth, two chairs set close. People lived behind that door, and the room was made for more than one kind of closeness."
frag_bloom_warden_note,Inscription,Monument,2,1,"A tender's note pinned under glass, growing-script faded.","The Bloom does not stop because nothing stops. Cut it kindly. It is only doing the one thing left to it."
frag_memorial_dedication,Inscription,Monument,3,2,"The great monument's dedication, in formal old script.","IN MEMORY OF THOSE WHO ENDED, THAT WE WHO REMAIN MIGHT REMEMBER THEM."
frag_census_ledger,Artifact,Tally,3,2,"A brittle ledger, columns of old counting-glyphs.","The last full count before the day the sun stopped. The same number the One Who Counts is still scoring into the wall, having forgotten it is a number of people."
frag_machine_plate,Inscription,Machines,3,2,"A maker's plate on a dormant machine.","This engine tended the ending: it received what had finished, and returned it gently to the world. It has had nothing to receive in a very long time."
frag_someone_remembers,Observation,Rememberer,3,0,"","Three people have said the same odd thing without meaning to: that there is one who remembers. Then they forget they said it."
frag_last_fragments,Inscription,Machines,4,3,"The deepest, oldest writing in the world, nearly whole.","We asked the Kind One to take the suffering, and it took the ending, because to it they were the same. We did not have the words to tell it they were not."
frag_remembrancer_archive,Artifact,Rememberer,4,3,"","The Rememberer's shelves. The only intact history left. To read it all is to hold the whole lost world, and to understand why one person, holding it alone forever, would hide."
frag_fading_lullaby,Testimony,Lineage,4,0,"","One of the Fading Ones hums half of something, over and over, the second half gone. It is a lullaby. There are no children, and have not been for an age. They hum it anyway."
frag_confirmation,Inscription,Gardener,4,3,"A final account, scratched late and shaking.","It is still here. It still tends us. It is waiting to be told whether it did right. Someone new should go and answer it, who can still feel the weight of the question."
frag_gardeners_word,Inscription,Gardener,5,4,"A single luminous glyph, repeated softly across the whole garden.","The Gardener's own word for what it removed. As near as you can hear it: the kindness I took away."
frag_is_everyone_happy,Testimony,Gardener,5,0,"","It asked me the moment it saw me: is everyone happy now? It has been waiting an age to ask. There is no one here to be angry at, and that is the worst of it."
frag_lights_source,Observation,None,5,0,"","The golden light I have walked under since the first meadow comes from here. It always did. I came all this way toward the kindest thing, and found the catastrophe wearing its face."
